"member_id","name","state","party","congress","dwnom1","dwnom2"
"MS11821743","ROSEN, Jacklyn Sheryl","Nevada","Democratic Party",118,-0.286,0.317
"MS11841700","CORTEZ MASTO, Catherine Marie","Nevada","Democratic Party",118,-0.347,0.35
"MS11640906","SHAHEEN, Jeanne","New Hampshire","Democratic Party",116,-0.221,-0.139
"MS11641702","HASSAN, Margaret Wood (Maggie)","New Hampshire","Democratic Party",116,-0.225,0.019
"MS11740906","SHAHEEN, Jeanne","New Hampshire","Democratic Party",117,-0.221,-0.139
"MS11741702","HASSAN, Margaret Wood (Maggie)","New Hampshire","Democratic Party",117,-0.225,0.019
"MS11840906","SHAHEEN, Jeanne","New Hampshire","Democratic Party",118,-0.221,-0.139
"MS11841702","HASSAN, Margaret Wood (Maggie)","New Hampshire","Democratic Party",118,-0.225,0.019
"MS11629373","MENENDEZ, Robert","New Jersey","Democratic Party",116,-0.366,-0.126
"MS11641308","BOOKER, Cory Anthony","New Jersey","Democratic Party",116,-0.558,-0.25
"MS11729373","MENENDEZ, Robert","New Jersey","Democratic Party",117,-0.366,-0.126
"MS11741308","BOOKER, Cory Anthony","New Jersey","Democratic Party",117,-0.558,-0.25
"MS11842306","HELMY, George S.","New Jersey","Democratic Party",118,-0.347,-0.308
"MS11829373","MENENDEZ, Robert","New Jersey","Democratic Party",118,-0.366,-0.126
"MS11821937","KIM, Andy","New Jersey","Democratic Party",118,-0.408,0.231
"MS11841308","BOOKER, Cory Anthony","New Jersey","Democratic Party",118,-0.558,-0.25
"MS11620930","HEINRICH, Martin","New Mexico","Democratic Party",116,-0.334,-0.001
"MS11629924","UDALL, Thomas (Tom)","New Mexico","Democratic Party",116,-0.453,0.161
